"id","name","context_length","prompt_price","completion_price"
"z-ai/glm-5v-turbo","Z.ai: GLM 5V Turbo",202752,"0.0000012","0.000004"
"arcee-ai/trinity-large-thinking","Arcee AI: Trinity Large Thinking",262144,"0.00000025","0.0000009"
"x-ai/grok-4.20-multi-agent","xAI: Grok 4.20 Multi-Agent",2000000,"0.000002","0.000006"
"x-ai/grok-4.20","xAI: Grok 4.20",2000000,"0.000002","0.000006"
"google/lyria-3-pro-preview","Google: Lyria 3 Pro Preview",1048576,"0","0"
"google/lyria-3-clip-preview","Google: Lyria 3 Clip Preview",1048576,"0","0"
"qwen/qwen3.6-plus-preview:free","Qwen: Qwen3.6 Plus Preview (free)",1000000,"0","0"
"kwaipilot/kat-coder-pro-v2","Kwaipilot: KAT-Coder-Pro V2",256000,"0.0000003","0.0000012"
"rekaai/reka-edge","Reka Edge",16384,"0.0000001","0.0000001"
"xiaomi/mimo-v2-omni","Xiaomi: MiMo-V2-Omni",262144,"0.0000004","0.000002"
"xiaomi/mimo-v2-pro","Xiaomi: MiMo-V2-Pro",1048576,"0.000001","0.000003"
"minimax/minimax-m2.7","MiniMax: MiniMax M2.7",204800,"0.0000003","0.0000012"
"openai/gpt-5.4-nano","OpenAI: GPT-5.4 Nano",400000,"0.0000002","0.00000125"
"openai/gpt-5.4-mini","OpenAI: GPT-5.4 Mini",400000,"0.00000075","0.0000045"
"mistralai/mistral-small-2603","Mistral: Mistral Small 4",262144,"0.00000015","0.0000006"
"z-ai/glm-5-turbo","Z.ai: GLM 5 Turbo",202752,"0.0000012","0.000004"
"nvidia/nemotron-3-super-120b-a12b:free","NVIDIA: Nemotron 3 Super (free)",262144,"0","0"
"nvidia/nemotron-3-super-120b-a12b","NVIDIA: Nemotron 3 Super",262144,"0.0000001","0.0000005"
"bytedance-seed/seed-2.0-lite","ByteDance Seed: Seed-2.0-Lite",262144,"0.00000025","0.000002"
"qwen/qwen3.5-9b","Qwen: Qwen3.5-9B",256000,"0.00000005","0.00000015"
"openai/gpt-5.4-pro","OpenAI: GPT-5.4 Pro",1050000,"0.00003","0.00018"
"openai/gpt-5.4","OpenAI: GPT-5.4",1050000,"0.0000025","0.000015"
"inception/mercury-2","Inception: Mercury 2",128000,"0.00000025","0.00000075"
"openai/gpt-5.3-chat","OpenAI: GPT-5.3 Chat",128000,"0.00000175","0.000014"
"google/gemini-3.1-flash-lite-preview","Google: Gemini 3.1 Flash Lite Preview",1048576,"0.00000025","0.0000015"
"bytedance-seed/seed-2.0-mini","ByteDance Seed: Seed-2.0-Mini",262144,"0.0000001","0.0000004"
"google/gemini-3.1-flash-image-preview","Google: Nano Banana 2 (Gemini 3.1 Flash Image Preview)",65536,"0.0000005","0.000003"
"qwen/qwen3.5-35b-a3b","Qwen: Qwen3.5-35B-A3B",262144,"0.0000001625","0.0000013"
"qwen/qwen3.5-27b","Qwen: Qwen3.5-27B",262144,"0.000000195","0.00000156"
"qwen/qwen3.5-122b-a10b","Qwen: Qwen3.5-122B-A10B",262144,"0.00000026","0.00000208"
"qwen/qwen3.5-flash-02-23","Qwen: Qwen3.5-Flash",1000000,"0.000000065","0.00000026"
"liquid/lfm-2-24b-a2b","LiquidAI: LFM2-24B-A2B",32768,"0.00000003","0.00000012"
"google/gemini-3.1-pro-preview-customtools","Google: Gemini 3.1 Pro Preview Custom Tools",1048576,"0.000002","0.000012"
"openai/gpt-5.3-codex","OpenAI: GPT-5.3-Codex",400000,"0.00000175","0.000014"
"aion-labs/aion-2.0","AionLabs: Aion-2.0",131072,"0.0000008","0.0000016"
"google/gemini-3.1-pro-preview","Google: Gemini 3.1 Pro Preview",1048576,"0.000002","0.000012"
"anthropic/claude-sonnet-4.6","Anthropic: Claude Sonnet 4.6",1000000,"0.000003","0.000015"
"qwen/qwen3.5-plus-02-15","Qwen: Qwen3.5 Plus 2026-02-15",1000000,"0.00000026","0.00000156"
"qwen/qwen3.5-397b-a17b","Qwen: Qwen3.5 397B A17B",262144,"0.00000039","0.00000234"
"minimax/minimax-m2.5:free","MiniMax: MiniMax M2.5 (free)",196608,"0","0"
"minimax/minimax-m2.5","MiniMax: MiniMax M2.5",196608,"0.00000012","0.000001"
"z-ai/glm-5","Z.ai: GLM 5",80000,"0.00000072","0.0000023"
"qwen/qwen3-max-thinking","Qwen: Qwen3 Max Thinking",262144,"0.00000078","0.0000039"
"anthropic/claude-opus-4.6","Anthropic: Claude Opus 4.6",1000000,"0.000005","0.000025"
"qwen/qwen3-coder-next","Qwen: Qwen3 Coder Next",262144,"0.00000012","0.00000075"
"openrouter/free","Free Models Router",200000,"0","0"
"stepfun/step-3.5-flash:free","StepFun: Step 3.5 Flash (free)",256000,"0","0"
"stepfun/step-3.5-flash","StepFun: Step 3.5 Flash",262144,"0.0000001","0.0000003"
"arcee-ai/trinity-large-preview:free","Arcee AI: Trinity Large Preview (free)",131000,"0","0"
"moonshotai/kimi-k2.5","MoonshotAI: Kimi K2.5",262144,"0.0000004","0.00000199"
"upstage/solar-pro-3","Upstage: Solar Pro 3",128000,"0.00000015","0.0000006"
"minimax/minimax-m2-her","MiniMax: MiniMax M2-her",65536,"0.0000003","0.0000012"
"writer/palmyra-x5","Writer: Palmyra X5",1040000,"0.0000006","0.000006"
"liquid/lfm-2.5-1.2b-thinking:free","LiquidAI: LFM2.5-1.2B-Thinking (free)",32768,"0","0"
"liquid/lfm-2.5-1.2b-instruct:free","LiquidAI: LFM2.5-1.2B-Instruct (free)",32768,"0","0"
"openai/gpt-audio","OpenAI: GPT Audio",128000,"0.0000025","0.00001"
"openai/gpt-audio-mini","OpenAI: GPT Audio Mini",128000,"0.0000006","0.0000024"
"z-ai/glm-4.7-flash","Z.ai: GLM 4.7 Flash",202752,"0.00000006","0.0000004"
